NAME,STATE,ERROR_MESSAGE,SCHEDULED_TIME,COMPLETED_TIME
BROKEN_TASK,FAILED_AND_AUTO_SUSPENDED,"SQL compilation error:
Table 'THIS_TABLE_DOES_NOT_EXIST' does not exist or not authorized.",2026-08-26 11:32:07.983 -0700,2026-08-26 11:32:09.205 -0700
BROKEN_TASK,FAILED,"SQL compilation error:
Table 'THIS_TABLE_DOES_NOT_EXIST' does not exist or not authorized.",2026-08-26 11:27:07.983 -0700,2026-08-26 11:27:09.264 -0700
BROKEN_TASK,FAILED,"SQL compilation error:
Table 'THIS_TABLE_DOES_NOT_EXIST' does not exist or not authorized.",2026-08-26 11:22:07.983 -0700,2026-08-26 11:22:09.477 -0700
